Country,EdLevel,YearsCodePro,DevType,OrgSize,RemoteWork,Salary,CountryName,EducationLevel,RemoteWorkLabel,DevTypeLabel,OrgSizeLabel
8,2,2.0,8,4,0,19276.0,Italy,Other,Hybrid,Developer,2 to 9 employees
5,0,8.0,8,1,0,64254.0,Germany,Bachelor's,Hybrid,Developer,10-19
0,2,5.0,8,5,2,82630.0,Australia,Other,Remote,Developer,20-99
14,0,15.0,8,4,0,154303.0,Switzerland,Bachelor's,Hybrid,Developer,2 to 9 employees
16,0,23.0,8,3,2,168000.0,United States of America,Bachelor's,Remote,Developer,100-499
2,0,22.0,8,7,0,178443.0,Canada,Bachelor's,Hybrid,Developer,500-999
15,0,4.0,16,6,0,70759.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Hybrid,Other (please specify):,5k-9.9k
2,2,10.0,8,0,2,118962.0,Canada,Other,Remote,Developer,1k-4.9k
5,4,13.0,8,0,0,81194.0,Germany,School,Hybrid,Developer,1k-4.9k
7,0,9.0,8,0,0,107446.0,Israel,Bachelor's,Hybrid,Developer,1k-4.9k
5,4,22.0,8,5,0,69608.0,Germany,School,Hybrid,Developer,20-99
6,2,14.0,8,2,2,30292.0,India,Other,Remote,Developer,10k+
5,2,1.0,8,5,1,35340.0,Germany,Other,In-person,Developer,20-99
6,1,12.0,8,7,2,26657.0,India,Master's,Remote,Developer,500-999
5,1,21.0,8,2,0,149925.0,Germany,Master's,Hybrid,Developer,10k+
11,1,13.0,8,0,1,72975.0,Poland,Master's,In-person,Developer,1k-4.9k
15,2,12.0,8,3,0,69517.0,United Kingdom of Great Britain and Northern Ireland,Other,Hybrid,Developer,100-499
5,3,12.0,8,5,2,77104.0,Germany,Postgraduate,Remote,Developer,20-99
5,4,13.0,8,1,0,69608.0,Germany,School,Hybrid,Developer,10-19
9,0,2.0,7,2,0,51403.0,Netherlands,Bachelor's,Hybrid,DevOps specialist,10k+
6,0,1.0,8,2,0,12723.0,India,Bachelor's,Hybrid,Developer,10k+
14,1,3.0,19,0,0,115727.0,Switzerland,Master's,Hybrid,Research & Development role,1k-4.9k
5,0,14.0,12,5,2,64254.0,Germany,Bachelor's,Remote,Engineer,20-99
3,1,10.0,8,0,1,86271.0,Denmark,Master's,In-person,Developer,1k-4.9k
8,4,5.0,8,1,0,18205.0,Italy,School,Hybrid,Developer,10-19
5,0,3.0,8,3,1,64254.0,Germany,Bachelor's,In-person,Developer,100-499
10,0,7.0,8,7,1,77021.0,Norway,Bachelor's,In-person,Developer,500-999
10,0,2.0,22,5,1,90613.0,Norway,Bachelor's,In-person,Senior Executive (C-Suite,20-99
2,2,21.0,8,3,1,64686.0,Canada,Other,In-person,Developer,100-499
15,3,20.0,8,5,0,14897.0,United Kingdom of Great Britain and Northern Ireland,Postgraduate,Hybrid,Developer,20-99
1,0,5.0,8,0,2,40575.0,Brazil,Bachelor's,Remote,Developer,1k-4.9k
5,0,3.0,8,3,0,59970.0,Germany,Bachelor's,Hybrid,Developer,100-499
16,3,12.0,4,0,1,167000.0,United States of America,Postgraduate,In-person,Data scientist or machine learning specialist,1k-4.9k
8,1,3.0,8,3,0,32127.0,Italy,Master's,Hybrid,Developer,100-499
5,0,15.0,8,3,2,65325.0,Germany,Bachelor's,Remote,Developer,100-499
6,0,10.0,8,5,2,65431.0,India,Bachelor's,Remote,Developer,20-99
12,3,10.0,17,0,0,44978.0,Spain,Postgraduate,Hybrid,Product manager,1k-4.9k
5,2,4.0,8,5,0,57828.0,Germany,Other,Hybrid,Developer,20-99
12,0,13.0,12,7,0,69608.0,Spain,Bachelor's,Hybrid,Engineer,500-999
16,1,15.0,8,6,2,125000.0,United States of America,Master's,Remote,Developer,5k-9.9k
16,1,11.0,13,3,2,175000.0,United States of America,Master's,Remote,Engineering manager,100-499
4,2,11.0,8,3,0,104948.0,France,Other,Hybrid,Developer,100-499
8,1,12.0,8,3,2,44978.0,Italy,Master's,Remote,Developer,100-499
8,1,5.0,7,2,2,68537.0,Italy,Master's,Remote,DevOps specialist,10k+
5,1,6.0,8,1,1,64254.0,Germany,Master's,In-person,Developer,10-19
16,1,2.0,3,0,2,80000.0,United States of America,Master's,Remote,Data or business analyst,1k-4.9k
4,2,5.0,8,5,1,38981.0,France,Other,In-person,Developer,20-99
9,1,5.0,8,7,0,69608.0,Netherlands,Master's,Hybrid,Developer,500-999
1,0,10.0,8,3,2,28403.0,Brazil,Bachelor's,Remote,Developer,100-499
5,4,3.0,8,1,2,41765.0,Germany,School,Remote,Developer,10-19
3,0,5.0,8,1,0,77644.0,Denmark,Bachelor's,Hybrid,Developer,10-19
16,0,15.0,8,3,0,215000.0,United States of America,Bachelor's,Hybrid,Developer,100-499
11,1,3.0,8,2,0,47852.0,Poland,Master's,Hybrid,Developer,10k+
15,1,15.0,22,4,2,62069.0,United Kingdom of Great Britain and Northern Ireland,Master's,Remote,Senior Executive (C-Suite,2 to 9 employees
16,3,15.0,0,0,2,120000.0,United States of America,Postgraduate,Remote,Academic researcher,1k-4.9k
16,1,14.0,8,0,0,140000.0,United States of America,Master's,Hybrid,Developer,1k-4.9k
11,2,5.0,8,3,0,53403.0,Poland,Other,Hybrid,Developer,100-499
5,2,5.0,8,1,2,51403.0,Germany,Other,Remote,Developer,10-19
5,1,15.0,8,3,2,203470.0,Germany,Master's,Remote,Developer,100-499
5,3,3.0,4,3,2,117798.0,Germany,Postgraduate,Remote,Data scientist or machine learning specialist,100-499
5,0,2.0,8,0,0,64254.0,Germany,Bachelor's,Hybrid,Developer,1k-4.9k
4,1,1.0,8,3,1,33733.0,France,Master's,In-person,Developer,100-499
6,0,2.0,8,5,2,12117.0,India,Bachelor's,Remote,Developer,20-99
16,1,2.0,8,5,2,90000.0,United States of America,Master's,Remote,Developer,20-99
11,2,11.0,8,3,0,60294.0,Poland,Other,Hybrid,Developer,100-499
5,1,23.0,8,8,2,96381.0,Germany,Master's,Remote,Developer,Unknown
13,1,15.0,8,8,0,50752.0,Sweden,Master's,Hybrid,Developer,Unknown
16,0,7.0,4,2,0,165974.0,United States of America,Bachelor's,Hybrid,Data scientist or machine learning specialist,10k+
15,3,20.0,0,5,0,40966.0,United Kingdom of Great Britain and Northern Ireland,Postgraduate,Hybrid,Academic researcher,20-99
16,0,9.0,13,3,2,192000.0,United States of America,Bachelor's,Remote,Engineering manager,100-499
14,4,3.0,8,0,0,121238.0,Switzerland,School,Hybrid,Developer,1k-4.9k
5,0,7.0,8,7,0,102806.0,Germany,Bachelor's,Hybrid,Developer,500-999
16,0,27.0,8,2,2,145000.0,United States of America,Bachelor's,Remote,Developer,10k+
12,1,13.0,4,5,2,64254.0,Spain,Master's,Remote,Data scientist or machine learning specialist,20-99
16,4,2.0,8,3,0,70000.0,United States of America,School,Hybrid,Developer,100-499
9,0,0.5,8,2,0,44978.0,Netherlands,Bachelor's,Hybrid,Developer,10k+
14,0,11.0,8,5,1,110216.0,Switzerland,Bachelor's,In-person,Developer,20-99
6,1,4.0,12,0,2,16964.0,India,Master's,Remote,Engineer,1k-4.9k
12,1,15.0,8,3,2,53545.0,Spain,Master's,Remote,Developer,100-499
2,0,3.0,8,5,2,59481.0,Canada,Bachelor's,Remote,Developer,20-99
16,2,25.0,12,6,0,170000.0,United States of America,Other,Hybrid,Engineer,5k-9.9k
5,1,10.0,8,5,1,51403.0,Germany,Master's,In-person,Developer,20-99
6,0,12.0,8,6,0,26318.0,India,Bachelor's,Hybrid,Developer,5k-9.9k
16,1,20.0,8,7,2,150000.0,United States of America,Master's,Remote,Developer,500-999
2,0,5.0,8,2,2,111527.0,Canada,Bachelor's,Remote,Developer,10k+
5,1,6.0,8,3,1,55687.0,Germany,Master's,In-person,Developer,100-499
9,2,6.0,8,5,0,32127.0,Netherlands,Other,Hybrid,Developer,20-99
15,0,28.0,8,3,2,72000.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Remote,Developer,100-499
15,1,14.0,8,3,2,80690.0,United Kingdom of Great Britain and Northern Ireland,Master's,Remote,Developer,100-499
16,0,4.0,8,1,2,126000.0,United States of America,Bachelor's,Remote,Developer,10-19
16,3,28.0,0,7,1,183000.0,United States of America,Postgraduate,In-person,Academic researcher,500-999
16,1,14.0,8,6,0,125000.0,United States of America,Master's,Hybrid,Developer,5k-9.9k
4,1,2.0,4,6,0,88884.0,France,Master's,Hybrid,Data scientist or machine learning specialist,5k-9.9k
12,0,8.0,8,1,2,74963.0,Spain,Bachelor's,Remote,Developer,10-19
12,0,11.0,8,0,0,29985.0,Spain,Bachelor's,Hybrid,Developer,1k-4.9k
5,1,4.0,8,0,0,74963.0,Germany,Master's,Hybrid,Developer,1k-4.9k
7,4,5.0,8,7,0,80184.0,Israel,School,Hybrid,Developer,500-999
16,2,12.0,9,2,2,200000.0,United States of America,Other,Remote,Developer Advocate,10k+
7,0,6.0,22,5,0,176404.0,Israel,Bachelor's,Hybrid,Senior Executive (C-Suite,20-99
16,0,25.0,8,3,0,120000.0,United States of America,Bachelor's,Hybrid,Developer,100-499
5,0,0.5,8,5,1,41765.0,Germany,Bachelor's,In-person,Developer,20-99
15,1,24.0,12,3,0,186207.0,United Kingdom of Great Britain and Northern Ireland,Master's,Hybrid,Engineer,100-499
15,3,4.0,8,6,0,86897.0,United Kingdom of Great Britain and Northern Ireland,Postgraduate,Hybrid,Developer,5k-9.9k
16,1,10.0,4,2,0,125000.0,United States of America,Master's,Hybrid,Data scientist or machine learning specialist,10k+
16,4,5.0,13,3,2,170000.0,United States of America,School,Remote,Engineering manager,100-499
16,2,8.0,8,7,0,130000.0,United States of America,Other,Hybrid,Developer,500-999
2,2,8.0,3,5,1,63199.0,Canada,Other,In-person,Data or business analyst,20-99
5,0,8.0,8,3,0,68537.0,Germany,Bachelor's,Hybrid,Developer,100-499
9,0,7.0,8,1,1,32127.0,Netherlands,Bachelor's,In-person,Developer,10-19
8,2,5.0,8,5,1,42836.0,Italy,Other,In-person,Developer,20-99
8,0,6.0,8,3,2,40694.0,Italy,Bachelor's,Remote,Developer,100-499
5,3,2.0,8,6,0,68537.0,Germany,Postgraduate,Hybrid,Developer,5k-9.9k
5,4,0.5,8,6,0,53545.0,Germany,School,Hybrid,Developer,5k-9.9k
13,0,21.0,8,5,1,49756.0,Sweden,Bachelor's,In-person,Developer,20-99
15,4,10.0,7,3,0,83173.0,United Kingdom of Great Britain and Northern Ireland,School,Hybrid,DevOps specialist,100-499
11,1,6.0,8,4,2,119631.0,Poland,Master's,Remote,Developer,2 to 9 employees
15,2,7.0,8,4,1,34759.0,United Kingdom of Great Britain and Northern Ireland,Other,In-person,Developer,2 to 9 employees
5,2,21.0,8,5,0,87813.0,Germany,Other,Hybrid,Developer,20-99
5,1,14.0,8,7,2,102806.0,Germany,Master's,Remote,Developer,500-999
5,0,4.0,8,3,0,44978.0,Germany,Bachelor's,Hybrid,Developer,100-499
6,0,4.0,8,2,0,30292.0,India,Bachelor's,Hybrid,Developer,10k+
1,0,15.0,8,7,0,16230.0,Brazil,Bachelor's,Hybrid,Developer,500-999
5,1,15.0,24,3,2,64254.0,Germany,Master's,Remote,System administrator,100-499
2,2,6.0,8,3,2,53533.0,Canada,Other,Remote,Developer,100-499
10,1,27.0,8,5,0,77021.0,Norway,Master's,Hybrid,Developer,20-99
12,0,3.0,8,4,2,74963.0,Spain,Bachelor's,Remote,Developer,2 to 9 employees
1,2,10.0,8,7,2,36518.0,Brazil,Other,Remote,Developer,500-999
7,0,34.0,8,0,1,58801.0,Israel,Bachelor's,In-person,Developer,1k-4.9k
5,2,4.0,8,4,0,41765.0,Germany,Other,Hybrid,Developer,2 to 9 employees
5,0,9.0,8,0,0,74963.0,Germany,Bachelor's,Hybrid,Developer,1k-4.9k
2,3,3.0,8,5,2,96657.0,Canada,Postgraduate,Remote,Developer,20-99
16,0,0.5,8,6,1,73000.0,United States of America,Bachelor's,In-person,Developer,5k-9.9k
12,2,23.0,2,2,2,69608.0,Spain,Other,Remote,Cloud infrastructure engineer,10k+
16,2,6.0,8,2,1,50000.0,United States of America,Other,In-person,Developer,10k+
5,3,25.0,16,6,1,128507.0,Germany,Postgraduate,In-person,Other (please specify):,5k-9.9k
6,1,2.0,3,2,2,36351.0,India,Master's,Remote,Data or business analyst,10k+
13,3,22.0,22,3,0,138212.0,Sweden,Postgraduate,Hybrid,Senior Executive (C-Suite,100-499
9,3,20.0,8,3,0,85672.0,Netherlands,Postgraduate,Hybrid,Developer,100-499
6,0,6.0,8,3,1,14540.0,India,Bachelor's,In-person,Developer,100-499
5,1,25.0,8,6,0,113515.0,Germany,Master's,Hybrid,Developer,5k-9.9k
4,1,17.0,8,2,0,85672.0,France,Master's,Hybrid,Developer,10k+
8,3,12.0,0,0,0,38552.0,Italy,Postgraduate,Hybrid,Academic researcher,1k-4.9k
16,4,25.0,8,5,2,110000.0,United States of America,School,Remote,Developer,20-99
1,0,7.0,8,1,2,24345.0,Brazil,Bachelor's,Remote,Developer,10-19
15,2,5.0,8,5,0,52138.0,United Kingdom of Great Britain and Northern Ireland,Other,Hybrid,Developer,20-99
5,0,6.0,8,5,0,62112.0,Germany,Bachelor's,Hybrid,Developer,20-99
8,4,16.0,18,7,2,42836.0,Italy,School,Remote,Project manager,500-999
5,0,8.0,8,6,1,80317.0,Germany,Bachelor's,In-person,Developer,5k-9.9k
5,2,20.0,8,6,0,72607.0,Germany,Other,Hybrid,Developer,5k-9.9k
1,1,23.0,8,0,2,28403.0,Brazil,Master's,Remote,Developer,1k-4.9k
5,3,7.0,8,3,1,53116.0,Germany,Postgraduate,In-person,Developer,100-499
7,0,13.0,8,5,1,96220.0,Israel,Bachelor's,In-person,Developer,20-99
11,2,12.0,12,0,0,81349.0,Poland,Other,Hybrid,Engineer,1k-4.9k
16,2,42.0,8,5,2,150000.0,United States of America,Other,Remote,Developer,20-99
9,1,5.0,8,3,2,64254.0,Netherlands,Master's,Remote,Developer,100-499
16,1,10.0,4,2,2,165000.0,United States of America,Master's,Remote,Data scientist or machine learning specialist,10k+
11,0,2.0,8,2,2,38282.0,Poland,Bachelor's,Remote,Developer,10k+
8,2,3.0,8,4,1,25701.0,Italy,Other,In-person,Developer,2 to 9 employees
9,0,1.0,8,3,1,32127.0,Netherlands,Bachelor's,In-person,Developer,100-499
5,0,3.0,8,5,0,69608.0,Germany,Bachelor's,Hybrid,Developer,20-99
4,0,15.0,8,2,2,149925.0,France,Bachelor's,Remote,Developer,10k+
9,0,10.0,8,2,0,78175.0,Netherlands,Bachelor's,Hybrid,Developer,10k+
9,1,23.0,8,3,0,117798.0,Netherlands,Master's,Hybrid,Developer,100-499
5,1,11.0,8,4,1,74963.0,Germany,Master's,In-person,Developer,2 to 9 employees
8,1,3.0,8,5,0,33198.0,Italy,Master's,Hybrid,Developer,20-99
16,2,27.0,18,0,1,111420.0,United States of America,Other,In-person,Project manager,1k-4.9k
4,3,6.0,8,0,0,96381.0,France,Postgraduate,Hybrid,Developer,1k-4.9k
9,1,2.0,8,0,1,48190.0,Netherlands,Master's,In-person,Developer,1k-4.9k
1,2,5.0,8,7,0,14303.0,Brazil,Other,Hybrid,Developer,500-999
1,1,3.0,8,0,0,56805.0,Brazil,Master's,Hybrid,Developer,1k-4.9k
4,1,8.0,12,3,0,107090.0,France,Master's,Hybrid,Engineer,100-499
16,2,28.0,8,0,2,160000.0,United States of America,Other,Remote,Developer,1k-4.9k
13,4,12.0,8,1,0,46439.0,Sweden,School,Hybrid,Developer,10-19
16,0,17.0,8,3,2,148000.0,United States of America,Bachelor's,Remote,Developer,100-499
13,0,5.0,8,0,0,50678.0,Sweden,Bachelor's,Hybrid,Developer,1k-4.9k
10,1,3.0,8,4,1,63429.0,Norway,Master's,In-person,Developer,2 to 9 employees
15,0,2.0,8,3,2,43448.0,United Kingdom of Great Britain and Northern Ireland,Bachelor's,Remote,Developer,100-499
5,1,22.0,8,5,1,74963.0,Germany,Master's,In-person,Developer,20-99
1,1,6.0,8,4,2,44633.0,Brazil,Master's,Remote,Developer,2 to 9 employees
5,1,22.0,8,0,1,104343.0,Germany,Master's,In-person,Developer,1k-4.9k
15,1,7.0,8,3,0,68276.0,United Kingdom of Great Britain and Northern Ireland,Master's,Hybrid,Developer,100-499
6,1,11.0,8,3,2,52345.0,India,Master's,Remote,Developer,100-499
6,0,11.0,8,4,0,21810.0,India,Bachelor's,Hybrid,Developer,2 to 9 employees
16,0,21.0,8,0,2,120000.0,United States of America,Bachelor's,Remote,Developer,1k-4.9k
16,2,19.0,8,4,1,120000.0,United States of America,Other,In-person,Developer,2 to 9 employees
8,4,0.5,8,4,0,21418.0,Italy,School,Hybrid,Developer,2 to 9 employees
4,0,10.0,8,7,0,44978.0,France,Bachelor's,Hybrid,Developer,500-999
16,1,26.0,12,6,1,240000.0,United States of America,Master's,In-person,Engineer,5k-9.9k
5,4,23.0,8,5,0,58006.0,Germany,School,Hybrid,Developer,20-99
5,1,12.0,22,1,2,91026.0,Germany,Master's,Remote,Senior Executive (C-Suite,10-19
2,2,7.0,12,7,2,68403.0,Canada,Other,Remote,Engineer,500-999
16,1,10.0,21,2,0,250000.0,United States of America,Master's,Hybrid,Security professional,10k+
14,0,7.0,8,4,0,119034.0,Switzerland,Bachelor's,Hybrid,Developer,2 to 9 employees
6,0,6.0,8,5,2,19387.0,India,Bachelor's,Remote,Developer,20-99
4,1,11.0,8,3,0,58899.0,France,Master's,Hybrid,Developer,100-499
15,2,5.0,8,3,0,57104.0,United Kingdom of Great Britain and Northern Ireland,Other,Hybrid,Developer,100-499
5,0,25.0,8,3,1,91026.0,Germany,Bachelor's,In-person,Developer,100-499
5,0,13.0,8,2,2,171343.0,Germany,Bachelor's,Remote,Developer,10k+
14,2,5.0,8,4,1,57312.0,Switzerland,Other,In-person,Developer,2 to 9 employees
16,0,10.0,8,3,2,170000.0,United States of America,Bachelor's,Remote,Developer,100-499
6,4,2.0,8,0,2,23131.0,India,School,Remote,Developer,1k-4.9k
16,0,31.0,8,3,0,150000.0,United States of America,Bachelor's,Hybrid,Developer,100-499
9,1,22.0,8,0,0,80317.0,Netherlands,Master's,Hybrid,Developer,1k-4.9k
2,1,10.0,4,2,0,148703.0,Canada,Master's,Hybrid,Data scientist or machine learning specialist,10k+
14,1,13.0,19,7,0,159814.0,Switzerland,Master's,Hybrid,Research & Development role,500-999
9,0,10.0,8,4,0,78711.0,Netherlands,Bachelor's,Hybrid,Developer,2 to 9 employees
5,0,3.0,8,6,2,92097.0,Germany,Bachelor's,Remote,Developer,5k-9.9k
16,0,1.0,8,5,1,73000.0,United States of America,Bachelor's,In-person,Developer,20-99
16,1,3.0,0,7,0,72000.0,United States of America,Master's,Hybrid,Academic researcher,500-999
